time_s	time_us	ax	ay	az	gx	gy	gz	mx	my	mz	pressure	temp	runtime_average_ms	
1429812253	430793	18	0	-2178	-21	-43	22	387	184	403	1010.21	32.75	0	
1429812253	530750	4	5	-2203	-32	-60	30	389	186	402	1010.12	32.75	0	
1429812253	630762	29	0	-2194	-26	-30	12	389	184	404	1010.26	32.76	0	
1429812253	730759	23	-4	-2177	-29	-24	16	386	186	403	1010.19	32.75	0	
1429812253	830762	12	-32	-2153	-31	-27	9	389	186	402	1010.15	32.73	0	
1429812253	930785	25	-42	-2175	-28	-28	6	387	185	403	1010.21	32.76	0	
1429812254	30751	42	-26	-2159	-32	-44	12	387	184	402	1010.22	32.77	0	
1429812254	130780	11	-11	-2191	-23	-30	36	389	183	403	1010.07	32.76	0	
1429812254	230787	24	-10	-2163	-26	-33	20	388	184	404	1010.15	32.76	0	
1429812254	330805	23	-4	-2176	-26	-42	25	389	184	403	1010.23	32.76	0	
1429812254	430815	31	-34	-2138	-29	-38	25	387	183	403	1010.24	32.76	3.28414	
1429812254	530839	32	8	-2184	-27	-29	31	388	184	404	1010.07	32.76	3.28414	
1429812254	630808	3	56	-2151	-33	-40	20	388	184	403	1010.22	32.75	3.28414	
1429812254	730832	17	4	-2195	-21	-34	38	387	184	402	1010.28	32.75	3.28414	
1429812254	830807	8	-20	-2179	-23	-42	20	387	184	404	1010.23	32.76	3.28414	
1429812254	930828	18	-22	-2156	-27	-38	32	387	184	402	1010.19	32.75	3.28414	
1429812255	30809	28	-25	-2178	-25	-27	34	385	184	404	1010.11	32.75	3.28414	
1429812255	130868	24	-95	-2074	-29	-14	11	386	184	405	1010.23	32.74	3.28414	
1429812255	230857	35	0	-2178	-22	-38	34	386	183	405	1010.19	32.74	3.28414	
1429812255	330824	33	13	-2206	-26	-42	28	386	183	404	1010.24	32.73	3.28414	
1429812255	430812	16	9	-2174	-24	-40	22	390	185	403	1010.26	32.74	3.30287	
1429812255	530817	26	8	-2194	-22	-48	35	385	184	404	1010.2	32.74	3.30287	
1429812255	630831	31	27	-2152	-21	-31	35	388	183	404	1010.19	32.73	3.30287	
1429812255	730851	39	-6	-2170	-19	-36	24	387	183	405	1010.21	32.73	3.30287	
1429812255	830835	-2	2	-2174	-21	-44	5	387	185	404	1010.24	32.73	3.30287	
1429812255	930871	30	-2	-2166	-20	-40	30	387	184	406	1010.23	32.73	3.30287	
1429812256	30818	28	-19	-2152	-29	-37	34	385	183	405	1010.22	32.73	3.30287	
1429812256	130946	12	3	-2166	-30	-33	17	386	184	404	1010.21	32.72	3.30287	
1429812256	230870	-5	2	-2181	-27	-26	25	383	183	404	1010.23	32.72	3.30287	
1429812256	330823	2	-34	-2242	-4	-34	36	387	184	404	1010.24	32.73	3.30287	
1429812256	430844	40	6	-2176	-23	-33	26	387	184	404	1010.23	32.72	3.31825	
1429812256	530820	17	4	-2188	-25	-35	8	386	184	403	1010.22	32.71	3.31825	
1429812256	630839	29	-15	-2160	-23	-40	23	388	184	405	1010.28	32.72	3.31825	
1429812256	730857	3	15	-2182	-31	-35	32	388	184	405	1010.15	32.72	3.31825	
1429812256	830838	35	-8	-2177	-25	-37	28	389	184	403	1010.17	32.7	3.31825	
1429812256	930837	26	-17	-2175	-13	-21	13	387	183	404	1010.22	32.71	3.31825	
1429812257	30833	29	-13	-2189	-21	-29	21	387	185	405	1010.06	32.71	3.31825	
1429812257	130811	38	-12	-2172	-25	-34	22	388	184	404	1010.18	32.71	3.31825	
1429812257	230832	11	9	-2190	-21	-30	20	387	184	408	1010.16	32.71	3.31825	
1429812257	330827	-8	10	-2179	-11	-30	14	388	183	403	1010.17	32.7	3.31825	
1429812257	430816	12	5	-2180	-26	-26	-2	388	185	403	1010.17	32.7	3.35934	
1429812257	530813	43	-7	-2172	-24	-33	32	389	184	405	1010.08	32.71	3.35934	
1429812257	630834	15	-27	-2185	-22	-27	6	387	183	405	1010.16	32.7	3.35934	
1429812257	730841	45	-11	-2195	-22	-35	22	387	185	404	1010.17	32.7	3.35934	
1429812257	830809	36	-9	-2144	-37	-25	13	389	183	404	1010.15	32.7	3.35934	
1429812257	930832	7	-82	-2147	-20	-36	62	388	184	404	1010.26	32.7	3.35934	
1429812258	30769	6	-23	-2167	-34	-45	61	386	184	403	1010.17	32.7	3.35934	
1429812258	130917	35	0	-2166	-13	-33	24	385	183	402	1010.26	32.7	3.35934	
1429812258	230805	20	20	-2188	-25	-37	1	388	184	403	1010.18	32.68	3.35934	
1429812258	330788	40	10	-2173	-24	-33	11	386	184	404	1010.26	32.7	3.35934	
1429812258	430776	30	-24	-2154	-25	-32	13	390	184	402	1010.18	32.7	3.37656	
1429812258	530762	14	-5	-2175	-27	-31	27	389	184	404	1010.18	32.7	3.37656	
1429812258	630760	44	-1	-2192	-29	-26	19	386	184	403	1010.14	32.69	3.37656	
1429812258	730757	36	-14	-2199	-23	-25	27	387	183	403	1010.27	32.7	3.37656	
1429812258	830773	26	-30	-2182	-22	-25	6	387	183	404	1010.21	32.7	3.37656	
1429812258	930782	-3	-28	-2168	-22	-34	14	388	182	404	1010.19	32.69	3.37656	
1429812259	30777	26	-14	-2176	-22	-27	6	389	183	403	1010.1	32.69	3.37656	
1429812259	130809	18	-5	-2174	-17	-42	47	386	179	412	1010.14	32.69	3.37656	
1429812259	230780	32	-39	-2146	-37	-17	-32	387	182	410	1010.25	32.68	3.37656	
1429812259	330814	35	-25	-2206	-21	-25	67	386	184	404	1010.21	32.68	3.37656	
1429812259	430813	35	-9	-2160	-33	-46	60	389	183	404	1010.18	32.68	3.32797	
1429812259	530895	30	-19	-2171	-28	-33	35	385	183	403	1010.18	32.68	3.32797	
1429812259	630837	46	-21	-2176	-19	-45	36	388	183	405	1010.25	32.68	3.32797	
1429812259	730822	25	1	-2178	-23	-49	23	386	183	404	1010.17	32.67	3.32797	
1429812259	830810	38	-3	-2187	-25	-41	17	387	182	405	1010.24	32.68	3.32797	
1429812259	930813	26	-1	-2161	-28	-40	18	387	182	404	1010.27	32.68	3.32797	
1429812260	30803	35	10	-2169	-20	-36	16	387	183	404	1010.13	32.67	3.32797	
1429812260	130823	26	-45	-2194	-24	-30	25	387	183	403	1010.24	32.68	3.32797	
1429812260	230833	14	-35	-2176	-34	-32	21	389	182	402	1010.25	32.67	3.32797	
1429812260	330832	26	-5	-2190	-21	-33	10	383	182	405	1010.25	32.67	3.32797	
1429812260	430817	14	-10	-2178	-20	-37	29	387	182	405	1010.22	32.67	3.29838	
1429812260	530832	39	10	-2139	-28	-37	30	384	182	402	1010.15	32.67	3.29838	
1429812260	630832	-23	-19	-2168	-38	-33	47	387	183	406	1010.15	32.67	3.29838	
1429812260	730853	7	70	-2158	-17	-43	70	384	182	407	1010.17	32.67	3.29838	
1429812260	830888	6	-14	-2191	-29	-22	54	384	182	405	1010.21	32.67	3.29838	
1429812260	930867	26	-10	-2201	-27	-31	27	386	183	405	1010.21	32.67	3.29838	
1429812261	30877	25	15	-2181	-16	-33	26	386	182	406	1010.13	32.66	3.29838	
1429812261	130835	22	-7	-2186	-20	-36	22	387	182	404	1010.13	32.66	3.29838	
1429812261	230854	37	-1	-2177	-23	-31	20	386	184	405	1010.23	32.66	3.29838	
1429812261	330874	81	-71	-2163	-18	-35	21	385	185	404	1010.15	32.66	3.29838	
1429812261	430843	-27	-15	-2237	-24	-38	39	385	183	404	1010.15	32.66	3.29842	
1429812261	530856	-14	-29	-2229	-31	-47	-23	391	171	428	1010.23	32.65	3.29842	
1429812261	630830	24	22	-2211	-30	-53	20	389	178	425	1010.17	32.65	3.29842	
1429812261	730853	31	-20	-2168	-24	-36	25	392	176	417	1010.11	32.65	3.29842	
1429812261	830840	11	-22	-2170	-25	-31	29	389	176	425	1010.16	32.65	3.29842	
1429812261	930798	56	-9	-2039	-43	67	137	393	171	422	1010.22	32.66	3.29842	
1429812262	30775	55	184	-2363	-88	-55	-34	389	145	420	1010.18	32.66	3.29842	
1429812262	130792	65	-28	-2226	-27	-17	-21	391	154	425	1010.17	32.65	3.29842	
1429812262	230806	33	-52	-2203	-32	-30	25	391	161	419	1010.2	32.65	3.29842	
1429812262	330807	-11	-51	-2196	-21	-41	41	390	155	425	1010.11	32.65	3.29842	
1429812262	430795	-5	-34	-2215	-13	-31	27	386	161	428	1010.16	32.65	3.33721	
1429812262	530761	18	-39	-2151	-17	-36	36	387	161	408	1010.27	32.65	3.33721	
